study_ID,author_first,year,extracted,ecotype,family,species,species_iucn,species_phylo,origin,method,mean_mass_g,dors_SA_cm2,vent_SA_cm2,D,lat,lon,skin_temp,trt_temp,airflow_ml_s,airflow_cm_s,RH_perc,es_kPa,ea_kPa,VPD_kPa,duration_min,hydration,strategy,days_cocoon,trait,response,trait_unit,mean,sd,se,sample_size,unit_corrected_mean,unit_corrected_sd,unit,pv_skin_g_ml_min,pv_air_g_ml_min,r_t,rw,Cp,p,r_b,r_s_mean,r_s_sd,Gr,v,calculated,notes,title,ref,,
1,Bovo,2016,Fig 1,Arboreal,Hylidae,Dendropsophus minutus,Dendropsophus minutus,Dendropsophus_minutus,wild,water vapour,0.51,3.620031069,,0.093921752,-23.35,-45.16,,20,21.66,0.430912008,30,2.389938612,0.716981583,1.672957028,30,,,,water loss,evaporative water loss,ug cm s,1.556548,0.3142642,0.1187807,7,5.6035728,1.13135112,mg cm h,1.7701E-05,1.7701E-05,7.96035473,4.42445E-06,1.004843723,1.204160266,1.547657799,3.2106742,2.8154048,,0,no,,Physiological responses of Brazilian amphibians to an enzootic infection of the chytrid fungus Batrachochytrium dendrobatidis,https://www.int-res.com/articles/dao2015/117/d117p245.pdf,,
1,Bovo,2016,Fig 1,Ground-dwelling,Brachycephalidae,Ischnocnema parva,Ischnocnema parva,Ischnocnema_parva,wild,water vapour,0.32,3.046009846,,0.070036911,-23.35,-45.16,,20,21.66,0.430912008,30,2.389938612,0.716981583,1.672957028,30,,,,water loss,evaporative water loss,ug cm s,2.949405,0.810761,0.3064388,7,10.617858,2.9187396,mg cm h,1.7701E-05,1.7701E-05,4.20107589,4.42445E-06,1.004843723,1.204160266,1.272918011,0.6235955,0.2783287,,,no,,,,,
1,Bovo,2016,Fig 1,Arboreal,Hylidae,Dendropsophus minutus,Dendropsophus minutus,Dendropsophus_minutus,wild,water vapour,0.51,3.620031069,,0.093921752,-23.35,-45.16,,20,21.66,0.430912008,30,2.389938612,0.716981583,1.672957028,30,,,,water loss,relative skin resistance,s cm,3.2106742,2.8154048,1.064123,7,3.2106742,2.8154048,s cm,,,,,,,,,,,,,,,,,
1,Bovo,2016,Fig 1,Ground-dwelling,Brachycephalidae,Ischnocnema parva,Ischnocnema parva,Ischnocnema_parva,wild,water vapour,0.32,3.046009846,,0.070036911,-23.35,-45.16,,20,21.66,0.430912008,30,2.389938612,0.716981583,1.672957028,30,,,,water loss,relative skin resistance,s cm,0.6235955,0.2783287,0.1051984,7,0.6235955,0.2783287,s cm,,,,,,,,,,,,,,,,,
1,Bovo,2016,Fig 1,Ground-dwelling,Brachycephalidae,Brachycephalus pitanga,,,wild,water vapour,0.2,2.218463944,,0.060101585,-23.35,-45.16,,20,21.66,0.430912008,30,2.389938612,0.716981583,1.672957028,30,,,,water loss,relative skin resistance,s cm,0.7247191,0.6930227,0.261938,7,0.7247191,0.6930227,s cm,,,,,,,,,,,,,,,,,
1,Bovo,2016,Fig 1,Arboreal,Hylidae,Dendropsophus minutus,Dendropsophus minutus,Dendropsophus_minutus,wild,mass change,0.51,,1.810015534,,-23.35,-45.16,,20,,,,,,,,80,,,water gain,water uptake,ug cm s,69.05028,26.704605,10.093392,7,248.581008,96.136578,mg cm h,,,,,,,,,,,,,,,,,
1,Bovo,2016,Fig 1,Ground-dwelling,Brachycephalidae,Ischnocnema parva,Ischnocnema parva,Ischnocnema_parva,wild,mass change,0.32,,1.523004923,,-23.35,-45.16,,20,,,,,,,,80,,,water gain,water uptake,ug cm s,66.78771,38.64192,14.605273,7,248.581008,130.96566,mg cm h,,,,,,,,,,,,,,,,,
2,Hastings,2022,Fig 2,Semi-aquatic,Ranidae,Rana sylvatica,Lithobates sylvaticus,Rana_sylvatica,wild,mass change,11.15,38.17723778,,0.194705702,58.7375,-93.819,19.75,23,,1.6,42.9,2.88192927,1.236347657,1.645581613,30,,,,water loss,evaporative water loss,ug cm min,355.2,47.14,,29,21.312,2.8284,mg cm h,2.13631E-05,2.11286E-05,2.077516559,7.62947E-06,1.004846421,1.19196212,1.608413213,0.469103345,,,,yes,,Using physiological conditions to assess current and future habitat use of a Subarctic frog,https://onlinelibrary.wiley.com/doi/full/10.1111/1749-4877.12649,,
3,Lemengar,2022,Fig 1,Aquatic,Pipidae,Xenopus laevis,Xenopus laevis,Xenopus_laevis,lab,mass change,3.4,,6.292923543,,,,,23.5,,,,,,,60,90,,,water gain,water uptake,mg min,1,0.8974359,0.2398498,14,9.534500076,8.556602657,mg cm h,,,,,,,,,,,,,at 0 Kpa,Physiological control of water exchange in anurans,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.8597,,
3,Lemengar,2022,Fig 1,Semi-aquatic,Ranidae,Rana pipiens,Lithobates pipiens,Rana_pipiens,lab,mass change,52.1,,48.82083946,,,,,23.5,,,,,,,60,90,,,water gain,water uptake,mg min,40,14.07407,3.000603,22,49.15923664,17.29676344,mg cm h,,,,,,,,,,,,,at 0 Kpa,,,,
3,Lemengar,2022,Fig 1,Semi-aquatic,Ranidae,Rana catesbeiana,Lithobates catesbeianus,Rana_catesbeiana,wild,mass change,60.8,,53.63583617,,39.550186,-119.828606,,23.5,,,,,,,60,90,,,water gain,water uptake,mg min,29.53846,16.61538,3.715313,20,33.04328191,18.58684188,mg cm h,,,,,,,,,,,,,at 0 Kpa,,,,
3,Lemengar,2022,Fig 1,Ground-dwelling,Bufonidae,Bufo boreas,Anaxyrus boreas,Anaxyrus_boreas,wild,mass change,93.6,,57.34837154,,39.550186,-119.828606,,23.5,,,,,,,60,90,,,water gain,water uptake,mg min,40.2439,12.43902,2.439493,26,42.10458128,13.0141395,mg cm h,,,,,,,,,,,,,at 0 Kpa,,,,
3,Lemengar,2022,Fig 1,Arboreal,Hylidae,Pseudacris cadaverina,Pseudacris cadaverina,Pseudacris_cadaverina,wild,mass change,4.2,,9.246132167,,33.7175,-117.8311,,23.5,,,,,,,60,90,,,water gain,water uptake,mg min,8.111111,1.333333,0.4020151,11,52.63451548,8.652247075,mg cm h,,,,,,,,,,,,,at 0 Kpa,,,,
3,Lemengar,2022,Fig 1,Arboreal,Hylidae,Pseudacris regilla,Pseudacris regilla,Pseudacris_regilla,wild,mass change,5.4,,11.23009278,,34.27743,-118.56192,,23.5,,,,,,,60,90,,,water gain,water uptake,mg min,4.666667,1.222222,0.2605787,22,24.93296053,6.530059438,mg cm h,,,,,,,,,,,,,at 0 Kpa,,,,
4,Mailho-Fontana,2022,Fig 9,Ground-dwelling,Bufonidae,Rhinella icterica,Rhinella icterica,Rhinella_icterica,wild,water vapour,91.394,112.8590883,,,-23.5558,-46.6396,,25,10,0.064935065,20,3.258157936,0.651631587,2.606526349,20,,,,water loss,relative skin resistance,s cm,1.156015,0.4334315,0.1769477,6,1.156015,0.4334315,s cm,,,,,,,,1.156015,0.4334315,,,no,,Skin and poison glands in toads (Rhinella) and their role in defence and water balance,https://onlinelibrary.wiley.com/doi/full/10.1111/azo.12390,,
4,Mailho-Fontana,2022,Fig 9,Ground-dwelling,Bufonidae,Rhinella jimi,Rhinella jimi,Rhinella_jimi,wild,water vapour,225.785,208.221415,,,-5.661944,-36.604722,,25,10,0.064935065,20,3.258157936,0.651631587,2.606526349,20,,,,water loss,relative skin resistance,s cm,2.650376,1.3703764,0.5594538,6,2.650376,1.3703764,s cm,,,,,,,,2.650376,1.3703764,,,no,,,,,
4,Mailho-Fontana,2022,Fig 9,Ground-dwelling,Bufonidae,Rhinella icterica,Rhinella icterica,Rhinella_icterica,wild,mass change,91.394,,56.42954415,,-23.5558,-46.6396,,25,,,,,,,12,70,,,water gain,water uptake,g h,51.93182,4.057889,1.43468,8,71.91071736,25.4242706,mg cm h,,,,,,,,,,,,,at 0 kPa,,,,
4,Mailho-Fontana,2022,Fig 9,Ground-dwelling,Bufonidae,Rhinella jimi,Rhinella jimi,Rhinella_jimi,wild,mass change,225.785,,104.1107075,,-5.661944,-36.604722,,25,,,,,,,12,70,,,water gain,water uptake,g h,66.74242,6.672772,2.359181,8,64.09304249,22.6603109,mg cm h,,,,,,,,,,,,,at 0 kPa,,,,
5,Hoffmann,2021,Fig 3,Ground-dwelling,Myobatrachidae,Geocrinia alba,Geocrinia alba,Geocrinia_alba,wild,chemical desiccant,1.35,8.042994456,,0.111898511,-34.09025,115.10904,,18,0,0,25,2.105029946,0.526257487,1.57877246,120,,,,water loss,evaporative water loss,mg min,1.163095,0.10706493,0.0338569,10,8.676564532,0.798692948,mg cm h,1.56979E-05,1.56979E-05,4.884920485,3.2475E-06,1.004842733,1.212432018,0,4.884920485,,624.5587687,0.125264064,yes,,Low desiccation and thermal tolerance constrains a terrestrial amphibian to a rare and disappearing microclimate niche,https://academic.oup.com/conphys/article/9/1/coab027/6257591?login=false,,
5,Hoffmann,2021,Fig 3,Ground-dwelling,Myobatrachidae,Geocrinia vitellina,Geocrinia vitellina,Geocrinia_vitellina,wild,chemical desiccant,1.49,8.596502238,,0.115550757,-34.09025,115.10904,,18,0,0,25,2.105029946,0.526257487,1.57877246,120,,,,water loss,evaporative water loss,mg min,1.214762,0.08437221,0.02668084,10,8.478515123,0.588881656,mg cm h,1.56979E-05,1.56979E-05,4.999027213,3.2475E-06,1.004842733,1.212432018,0,4.999027213,,624.5588019,0.125264064,yes,,,,,
5,Hoffmann,2021,Fig 3,Ground-dwelling,Myobatrachidae,Geocrinia alba,Geocrinia alba,Geocrinia_alba,wild,mass change,1.35,,4.021497228,,-34.09025,115.10904,,18,,,,,,,120,90,,,water gain,water uptake,mg min,0.7473469,0.1361693,0.04306053,10,11.15025618,2.031616882,mg cm h,,,,,,,,,,,,,at 0 Kpa,,,,
